,Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Allen ID,Parent Allen ID,Side,Area µm^2,Perimeter µm,Num Detections
19,JKAH27.2h_MPOA_2_Scan1.qptiff - resolution #1_Region 6.ome.tif,Anteroventral preoptic nucleus,AVP,Periventricular region,Geometry,1490.1,4845.9,263,141,0,301893.6,2956.4,264.0
20,JKAH27.2h_MPOA_2_Scan1.qptiff - resolution #1_Region 6.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1706.3,4834.7,523,141,0,472173.1,7575.2,352.0
21,JKAH27.2h_MPOA_2_Scan1.qptiff - resolution #1_Region 6.ome.tif,Anterodorsal preoptic nucleus,ADP,Periventricular region,Geometry,2186.9,4810.2,72,141,0,285388.0,2810.8,226.0
22,JKAH27.2h_MPOA_2_Scan1.qptiff - resolution #1_Region 6.ome.tif,Parastrial nucleus,PS,Periventricular region,Geometry,2012.1,4818.6,1109,141,0,263629.8,2925.6,197.0
23,JKAH27.2h_MPOA_2_Scan1.qptiff - resolution #1_Region 7.ome.tif,Anteroventral preoptic nucleus,AVP,Periventricular region,Geometry,1302.7,5010.6,263,141,0,274140.9,2811.7,214.0
24,JKAH27.2h_MPOA_2_Scan1.qptiff - resolution #1_Region 7.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1520.5,5007.4,523,141,0,553162.1,8641.6,425.0
25,JKAH27.2h_MPOA_2_Scan1.qptiff - resolution #1_Region 7.ome.tif,Anterodorsal preoptic nucleus,ADP,Periventricular region,Geometry,2027.5,5000.1,72,141,0,203658.5,2387.8,138.0
26,JKAH27.2h_MPOA_2_Scan1.qptiff - resolution #1_Region 7.ome.tif,Parastrial nucleus,PS,Periventricular region,Geometry,1868.4,5002.3,1109,141,0,254341.3,2829.2,189.0
27,JKAH27.2h_MPOA_2_Scan1.qptiff - resolution #1_Region 7.ome.tif,Medial preoptic nucleus,MPN,Hypothalamic medial zone,Geometry,1441.8,5038.0,515,467,0,1054.6,524.52,1.0
28,JKAH27.2h_MPOA_2_Scan1.qptiff - resolution #1_Region 8.ome.tif,Anteroventral preoptic nucleus,AVP,Periventricular region,Geometry,1128.3,4982.2,263,141,0,196200.2,2311.9,171.0
29,JKAH27.2h_MPOA_2_Scan1.qptiff - resolution #1_Region 8.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1362.1,4985.8,523,141,0,623955.0,8336.5,541.0
30,JKAH27.2h_MPOA_2_Scan1.qptiff - resolution #1_Region 8.ome.tif,Anterodorsal preoptic nucleus,ADP,Periventricular region,Geometry,1825.0,4992.5,72,141,0,118075.0,1863.3,100.0
31,JKAH27.2h_MPOA_2_Scan1.qptiff - resolution #1_Region 8.ome.tif,Parastrial nucleus,PS,Periventricular region,Geometry,1705.8,4987.1,1109,141,0,223516.7,2649.3,130.0
32,JKAH27.2h_MPOA_2_Scan1.qptiff - resolution #1_Region 8.ome.tif,Medial preoptic nucleus,MPN,Hypothalamic medial zone,Geometry,1273.6,4986.0,515,467,0,87236.5,2017.7,98.0
33,JKAH27.2h_MPOA_3_Scan1.qptiff - resolution #1_Region 1.ome.tif,Anteroventral preoptic nucleus,AVP,Periventricular region,Geometry,1001.3,5553.9,263,141,0,145563.5,1971.5,101.0
34,JKAH27.2h_MPOA_3_Scan1.qptiff - resolution #1_Region 1.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1285.9,5517.8,523,141,0,661435.1,8093.0,437.0
35,JKAH27.2h_MPOA_3_Scan1.qptiff - resolution #1_Region 1.ome.tif,Parastrial nucleus,PS,Periventricular region,Geometry,1602.1,5484.1,1109,141,0,154053.0,2445.4,85.0
36,JKAH27.2h_MPOA_3_Scan1.qptiff - resolution #1_Region 1.ome.tif,Medial preoptic nucleus,MPN,Hypothalamic medial zone,Geometry,1161.6,5529.0,515,467,0,285535.0,3053.0,232.0
37,JKAH27.2h_MPOA_3_Scan1.qptiff - resolution #1_Region 2.ome.tif,Anteroventral preoptic nucleus,AVP,Periventricular region,Geometry,1060.5,4953.7,263,141,0,96534.9,1615.6,59.0
38,JKAH27.2h_MPOA_3_Scan1.qptiff - resolution #1_Region 2.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1375.7,4931.7,523,141,0,758853.1,7972.6,430.0
39,JKAH27.2h_MPOA_3_Scan1.qptiff - resolution #1_Region 2.ome.tif,Medial preoptic nucleus,MPN,Hypothalamic medial zone,Geometry,1216.3,4912.9,515,467,0,583212.3,4105.4,377.0
40,JKAH27.2h_MPOA_3_Scan1.qptiff - resolution #1_Region 3.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1351.2,4834.2,523,141,0,718244.0,7083.3,366.0
41,JKAH27.2h_MPOA_3_Scan1.qptiff - resolution #1_Region 3.ome.tif,Anteroventral preoptic nucleus,AVP,Periventricular region,Geometry,1054.5,4826.6,263,141,0,19320.4,720.21,10.0
42,JKAH27.2h_MPOA_3_Scan1.qptiff - resolution #1_Region 3.ome.tif,Posterodorsal preoptic nucleus,PD,Periventricular region,Geometry,1845.3,4853.0,914,141,0,7219.8,752.48,1.0
43,JKAH27.2h_MPOA_3_Scan1.qptiff - resolution #1_Region 3.ome.tif,Medial preoptic nucleus,MPN,Hypothalamic medial zone,Geometry,1269.8,4819.9,515,467,0,666931.6,4455.3,426.0
44,JKAH27.2h_MPOA_3_Scan1.qptiff - resolution #1_Region 4.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1590.7,4862.8,523,141,0,644370.4,5822.2,285.0
45,JKAH27.2h_MPOA_3_Scan1.qptiff - resolution #1_Region 4.ome.tif,Posterodorsal preoptic nucleus,PD,Periventricular region,Geometry,2131.1,4917.2,914,141,0,86703.8,1510.3,18.0
46,JKAH27.2h_MPOA_3_Scan1.qptiff - resolution #1_Region 4.ome.tif,Medial preoptic nucleus,MPN,Hypothalamic medial zone,Geometry,1609.0,4870.9,515,467,0,815667.1,4955.3,329.0
47,JKAH27.2h_MPOA_3_Scan1.qptiff - resolution #1_Region 5.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1581.7,5732.1,523,141,0,580935.6,5243.9,215.0
48,JKAH27.2h_MPOA_3_Scan1.qptiff - resolution #1_Region 5.ome.tif,Posterodorsal preoptic nucleus,PD,Periventricular region,Geometry,2135.0,5727.1,914,141,0,83997.4,1486.7,14.0
49,JKAH27.2h_MPOA_3_Scan1.qptiff - resolution #1_Region 5.ome.tif,Medial preoptic nucleus,MPN,Hypothalamic medial zone,Geometry,1653.8,5731.6,515,467,0,806209.2,4947.4,261.0
50,JKAH27.2h_MPOA_3_Scan1.qptiff - resolution #1_Region 6.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1099.2,4894.5,523,141,0,591588.5,5156.1,188.0
51,JKAH27.2h_MPOA_3_Scan1.qptiff - resolution #1_Region 6.ome.tif,Posterodorsal preoptic nucleus,PD,Periventricular region,Geometry,1631.9,5003.1,914,141,0,23949.1,826.78,5.0
52,JKAH27.2h_MPOA_3_Scan1.qptiff - resolution #1_Region 6.ome.tif,Medial preoptic nucleus,MPN,Hypothalamic medial zone,Geometry,1185.9,4969.1,515,467,0,812553.5,4919.5,179.0
53,JKAH27.2h_MPOA_3_Scan1.qptiff - resolution #1_Region 7.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1166.8,4901.6,523,141,0,602294.3,5335.4,171.0
54,JKAH27.2h_MPOA_3_Scan1.qptiff - resolution #1_Region 7.ome.tif,Medial preoptic nucleus,MPN,Hypothalamic medial zone,Geometry,1285.6,4972.4,515,467,0,793931.8,4876.8,150.0
55,JKAH27.2h_MPOA_3_Scan1.qptiff - resolution #1_Region 8.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1174.4,4958.7,523,141,0,497901.1,4704.9,87.0
56,JKAH27.2h_MPOA_3_Scan1.qptiff - resolution #1_Region 8.ome.tif,Medial preoptic nucleus,MPN,Hypothalamic medial zone,Geometry,1261.1,5007.5,515,467,0,735502.2,4747.3,115.0
